size,amount,plugins,amountSolved
9,1,hiddenPairs,2272
9,1,pointingArrows,811
9,1,removeByElements,1323
9,2,hiddenPairs|nakedPairs,2356
9,2,hiddenPairs|nFish,2412
9,2,hiddenPairs|pointingArrows,2491
9,2,hiddenPairs|removeByElements,2466
9,2,nakedPairs|pointingArrows,2471
9,2,nakedPairs|removeByElements,2422
9,2,nFish|pointingArrows,1172
9,2,nFish|removeByElements,1842
9,2,pointingArrows|removeByElements,1894
9,2,hiddenPairs,2431.25
9,2,nakedPairs,1812.25
9,2,nFish,1356.5
9,2,pointingArrows,2007
9,2,removeByElements,2156
9,3,hiddenPairs|nakedPairs|pointingArrows,2496
9,3,hiddenPairs|nakedPairs|removeByElements,2472
9,3,hiddenPairs|nFish|nakedPairs,2443
9,3,hiddenPairs|nFish|pointingArrows,2495
9,3,hiddenPairs|nFish|removeByElements,2481
9,3,hiddenPairs|pointingArrows|removeByElements,2492
9,3,nakedPairs|pointingArrows|removeByElements,2477
9,3,nFish|nakedPairs|pointingArrows,2486
9,3,nFish|nakedPairs|removeByElements,2474
9,3,nFish|pointingArrows|removeByElements,1942
9,3,hiddenPairs,2479.8333333333335
9,3,nakedPairs,2474.6666666666665
9,3,nFish,2386.8333333333335
9,3,pointingArrows,2398
9,3,removeByElements,2389.6666666666665
9,4,hiddenPairs|nakedPairs|pointingArrows|removeByElements,2496
9,4,hiddenPairs|nFish|nakedPairs|pointingArrows,2500
9,4,hiddenPairs|nFish|nakedPairs|removeByElements,2488
9,4,hiddenPairs|nFish|pointingArrows|removeByElements,2496
9,4,nFish|nakedPairs|pointingArrows|removeByElements,2490
9,4,hiddenPairs,2495
9,4,nakedPairs,2493.5
9,4,nFish,2493.5
9,4,pointingArrows,2495.5
9,4,removeByElements,2492.5
9,5,hiddenPairs|nFish|nakedPairs|pointingArrows|removeByElements,2500
9,5,hiddenPairs,2500
9,5,nakedPairs,2500
9,5,nFish,2500
9,5,pointingArrows,2500
9,5,removeByElements,2500
